"Statistic Label","Year","Sex","County","Age Group","Cause of Death","UNIT","VALUE"
"Age-standardised mortality rate","2021","Both sexes","Ireland","0 - 64 years","Accidents","Rate","14.67"
"Age-standardised mortality rate","2021","Both sexes","Ireland","0 - 74 years","Accidents","Rate","16.39"
"Age-standardised mortality rate","2021","Both sexes","Ireland","65 years and over","Accidents","Rate","77.4"
"Age-standardised mortality rate","2021","Both sexes","Ireland","75 years and over","Accidents","Rate","133.12"
"Age-standardised mortality rate","2021","Both sexes","Ireland","All ages","Accidents","Rate","26.9"
"Age-standardised mortality rate","2021","Both sexes","Co. Clare","0 - 64 years","Accidents","Rate","13.63"
"Age-standardised mortality rate","2021","Both sexes","Co. Clare","0 - 74 years","Accidents","Rate","14.99"
"Age-standardised mortality rate","2021","Both sexes","Co. Clare","65 years and over","Accidents","Rate","82.78"
"Age-standardised mortality rate","2021","Both sexes","Co. Clare","75 years and over","Accidents","Rate","149.76"
"Age-standardised mortality rate","2021","Both sexes","Co. Clare","All ages","Accidents","Rate","27.12"
"Age-standardised mortality rate","2021","Both sexes","Co. Cork","0 - 64 years","Accidents","Rate","14.22"
"Age-standardised mortality rate","2021","Both sexes","Co. Cork","0 - 74 years","Accidents","Rate","18.7"
"Age-standardised mortality rate","2021","Both sexes","Co. Cork","65 years and over","Accidents","Rate","87.52"
"Age-standardised mortality rate","2021","Both sexes","Co. Cork","75 years and over","Accidents","Rate","127.7"
"Age-standardised mortality rate","2021","Both sexes","Co. Cork","All ages","Accidents","Rate","28.51"
"Age-standardised mortality rate","2021","Both sexes","Co. Cavan","0 - 64 years","Accidents","Rate","17.63"
"Age-standardised mortality rate","2021","Both sexes","Co. Cavan","0 - 74 years","Accidents","Rate","26.83"
"Age-standardised mortality rate","2021","Both sexes","Co. Cavan","65 years and over","Accidents","Rate","125.68"
"Age-standardised mortality rate","2021","Both sexes","Co. Cavan","75 years and over","Accidents","Rate","158.71"
"Age-standardised mortality rate","2021","Both sexes","Co. Cavan","All ages","Accidents","Rate","38.7"
"Age-standardised mortality rate","2021","Both sexes","Co. Carlow","0 - 64 years","Accidents","Rate","18.58"
"Age-standardised mortality rate","2021","Both sexes","Co. Carlow","0 - 74 years","Accidents","Rate","23.01"
"Age-standardised mortality rate","2021","Both sexes","Co. Carlow","65 years and over","Accidents","Rate","73.94"
"Age-standardised mortality rate","2021","Both sexes","Co. Carlow","75 years and over","Accidents","Rate","93.72"
"Age-standardised mortality rate","2021","Both sexes","Co. Carlow","All ages","Accidents","Rate","29.38"
"Age-standardised mortality rate","2021","Both sexes","Co. Donegal","0 - 64 years","Accidents","Rate","9.81"
"Age-standardised mortality rate","2021","Both sexes","Co. Donegal","0 - 74 years","Accidents","Rate","10.84"
"Age-standardised mortality rate","2021","Both sexes","Co. Donegal","65 years and over","Accidents","Rate","66.89"
"Age-standardised mortality rate","2021","Both sexes","Co. Donegal","75 years and over","Accidents","Rate","123.08"
