"Statistic Label","Year","Item","UNIT","VALUE"
"Consumption of Personal Income at Current Market Prices","1995","CP011 - Food","Euro Million","3862"
"Consumption of Personal Income at Current Market Prices","1995","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","2183"
"Consumption of Personal Income at Current Market Prices","1995","CP031 - Clothing","Euro Million","1619"
"Consumption of Personal Income at Current Market Prices","1995","CP06 - Health","Euro Million","750"
"Consumption of Personal Income at Current Market Prices","1995","CP07 - Transport","Euro Million","3025"
"Consumption of Personal Income at Current Market Prices","1995","CP073 - Transport services","Euro Million","691"
"Consumption of Personal Income at Current Market Prices","1995","CP10 - Education","Euro Million","638"
"Consumption of Personal Income at Current Market Prices","1996","CP011 - Food","Euro Million","4127"
"Consumption of Personal Income at Current Market Prices","1996","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","2388"
"Consumption of Personal Income at Current Market Prices","1996","CP031 - Clothing","Euro Million","1764"
"Consumption of Personal Income at Current Market Prices","1996","CP06 - Health","Euro Million","819"
"Consumption of Personal Income at Current Market Prices","1996","CP07 - Transport","Euro Million","3425"
"Consumption of Personal Income at Current Market Prices","1996","CP073 - Transport services","Euro Million","730"
"Consumption of Personal Income at Current Market Prices","1996","CP10 - Education","Euro Million","677"
"Consumption of Personal Income at Current Market Prices","1997","CP011 - Food","Euro Million","4120"
"Consumption of Personal Income at Current Market Prices","1997","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","2593"
"Consumption of Personal Income at Current Market Prices","1997","CP031 - Clothing","Euro Million","1982"
"Consumption of Personal Income at Current Market Prices","1997","CP06 - Health","Euro Million","884"
"Consumption of Personal Income at Current Market Prices","1997","CP07 - Transport","Euro Million","4032"
"Consumption of Personal Income at Current Market Prices","1997","CP073 - Transport services","Euro Million","819"
"Consumption of Personal Income at Current Market Prices","1997","CP10 - Education","Euro Million","349"
"Consumption of Personal Income at Current Market Prices","1998","CP011 - Food","Euro Million","4267"
"Consumption of Personal Income at Current Market Prices","1998","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","2840"
"Consumption of Personal Income at Current Market Prices","1998","CP031 - Clothing","Euro Million","2215"
"Consumption of Personal Income at Current Market Prices","1998","CP06 - Health","Euro Million","1003"
"Consumption of Personal Income at Current Market Prices","1998","CP07 - Transport","Euro Million","4523"
"Consumption of Personal Income at Current Market Prices","1998","CP073 - Transport services","Euro Million","900"
"Consumption of Personal Income at Current Market Prices","1998","CP10 - Education","Euro Million","384"
"Consumption of Personal Income at Current Market Prices","1999","CP011 - Food","Euro Million","4277"
"Consumption of Personal Income at Current Market Prices","1999","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","3203"
"Consumption of Personal Income at Current Market Prices","1999","CP031 - Clothing","Euro Million","2393"
"Consumption of Personal Income at Current Market Prices","1999","CP06 - Health","Euro Million","1106"
"Consumption of Personal Income at Current Market Prices","1999","CP07 - Transport","Euro Million","5153"
"Consumption of Personal Income at Current Market Prices","1999","CP073 - Transport services","Euro Million","970"
"Consumption of Personal Income at Current Market Prices","1999","CP10 - Education","Euro Million","429"
"Consumption of Personal Income at Current Market Prices","2000","CP011 - Food","Euro Million","5127"
"Consumption of Personal Income at Current Market Prices","2000","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","3682"
"Consumption of Personal Income at Current Market Prices","2000","CP031 - Clothing","Euro Million","2754"
"Consumption of Personal Income at Current Market Prices","2000","CP06 - Health","Euro Million","1241"
"Consumption of Personal Income at Current Market Prices","2000","CP07 - Transport","Euro Million","6523"
"Consumption of Personal Income at Current Market Prices","2000","CP073 - Transport services","Euro Million","1051"
"Consumption of Personal Income at Current Market Prices","2000","CP10 - Education","Euro Million","487"
"Consumption of Personal Income at Current Market Prices","2001","CP011 - Food","Euro Million","5549"
"Consumption of Personal Income at Current Market Prices","2001","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","3914"
"Consumption of Personal Income at Current Market Prices","2001","CP031 - Clothing","Euro Million","2937"
"Consumption of Personal Income at Current Market Prices","2001","CP06 - Health","Euro Million","1428"
"Consumption of Personal Income at Current Market Prices","2001","CP07 - Transport","Euro Million","6024"
"Consumption of Personal Income at Current Market Prices","2001","CP073 - Transport services","Euro Million","1110"
"Consumption of Personal Income at Current Market Prices","2001","CP10 - Education","Euro Million","534"
"Consumption of Personal Income at Current Market Prices","2002","CP011 - Food","Euro Million","5708"
"Consumption of Personal Income at Current Market Prices","2002","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4327"
"Consumption of Personal Income at Current Market Prices","2002","CP031 - Clothing","Euro Million","2871"
"Consumption of Personal Income at Current Market Prices","2002","CP06 - Health","Euro Million","1628"
"Consumption of Personal Income at Current Market Prices","2002","CP07 - Transport","Euro Million","6316"
"Consumption of Personal Income at Current Market Prices","2002","CP073 - Transport services","Euro Million","1178"
"Consumption of Personal Income at Current Market Prices","2002","CP10 - Education","Euro Million","668"
"Consumption of Personal Income at Current Market Prices","2003","CP011 - Food","Euro Million","5742"
"Consumption of Personal Income at Current Market Prices","2003","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4385"
"Consumption of Personal Income at Current Market Prices","2003","CP031 - Clothing","Euro Million","2701"
"Consumption of Personal Income at Current Market Prices","2003","CP06 - Health","Euro Million","1856"
"Consumption of Personal Income at Current Market Prices","2003","CP07 - Transport","Euro Million","6733"
"Consumption of Personal Income at Current Market Prices","2003","CP073 - Transport services","Euro Million","1398"
"Consumption of Personal Income at Current Market Prices","2003","CP10 - Education","Euro Million","778"
"Consumption of Personal Income at Current Market Prices","2004","CP011 - Food","Euro Million","5875"
"Consumption of Personal Income at Current Market Prices","2004","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4290"
"Consumption of Personal Income at Current Market Prices","2004","CP031 - Clothing","Euro Million","2645"
"Consumption of Personal Income at Current Market Prices","2004","CP06 - Health","Euro Million","2045"
"Consumption of Personal Income at Current Market Prices","2004","CP07 - Transport","Euro Million","7425"
"Consumption of Personal Income at Current Market Prices","2004","CP073 - Transport services","Euro Million","1484"
"Consumption of Personal Income at Current Market Prices","2004","CP10 - Education","Euro Million","884"
"Consumption of Personal Income at Current Market Prices","2005","CP011 - Food","Euro Million","6154"
"Consumption of Personal Income at Current Market Prices","2005","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4625"
"Consumption of Personal Income at Current Market Prices","2005","CP031 - Clothing","Euro Million","2997"
"Consumption of Personal Income at Current Market Prices","2005","CP06 - Health","Euro Million","2321"
"Consumption of Personal Income at Current Market Prices","2005","CP07 - Transport","Euro Million","8443"
"Consumption of Personal Income at Current Market Prices","2005","CP073 - Transport services","Euro Million","1573"
"Consumption of Personal Income at Current Market Prices","2005","CP10 - Education","Euro Million","985"
"Consumption of Personal Income at Current Market Prices","2006","CP011 - Food","Euro Million","6621"
"Consumption of Personal Income at Current Market Prices","2006","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4857"
"Consumption of Personal Income at Current Market Prices","2006","CP031 - Clothing","Euro Million","3095"
"Consumption of Personal Income at Current Market Prices","2006","CP06 - Health","Euro Million","2630"
"Consumption of Personal Income at Current Market Prices","2006","CP07 - Transport","Euro Million","9657"
"Consumption of Personal Income at Current Market Prices","2006","CP073 - Transport services","Euro Million","1778"
"Consumption of Personal Income at Current Market Prices","2006","CP10 - Education","Euro Million","1036"
"Consumption of Personal Income at Current Market Prices","2007","CP011 - Food","Euro Million","7061"
"Consumption of Personal Income at Current Market Prices","2007","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","5177"
"Consumption of Personal Income at Current Market Prices","2007","CP031 - Clothing","Euro Million","3312"
"Consumption of Personal Income at Current Market Prices","2007","CP06 - Health","Euro Million","2734"
"Consumption of Personal Income at Current Market Prices","2007","CP07 - Transport","Euro Million","10627"
"Consumption of Personal Income at Current Market Prices","2007","CP073 - Transport services","Euro Million","2040"
"Consumption of Personal Income at Current Market Prices","2007","CP10 - Education","Euro Million","1136"
"Consumption of Personal Income at Current Market Prices","2008","CP011 - Food","Euro Million","7434"
"Consumption of Personal Income at Current Market Prices","2008","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","5162"
"Consumption of Personal Income at Current Market Prices","2008","CP031 - Clothing","Euro Million","3232"
"Consumption of Personal Income at Current Market Prices","2008","CP06 - Health","Euro Million","3068"
"Consumption of Personal Income at Current Market Prices","2008","CP07 - Transport","Euro Million","10521"
